frame_num,face_id,x_min,y_min,x_max,y_max,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,yaw,pitch,roll
29,5.0,2463.0,695.0,2648.0,897.0,2524.09,791.32,2555.87,798.4,2525.51,816.55,2523.37,836.69,2547.26,841.24,48.82940673828125,-4.718048095703125,6.56243896484375
30,6.0,2464.0,695.0,2649.0,897.0,2525.39,791.63,2556.51,799.29,2526.34,817.15,2524.45,836.52,2547.77,841.5,48.72816467285156,-5.196823120117188,6.662567138671875
31,6.0,2465.0,696.0,2650.0,897.0,2526.05,792.3,2557.39,799.82,2527.21,817.79,2525.45,836.95,2548.67,841.82,48.59573364257813,-5.580108642578125,6.894905090332031
32,5.0,2465.0,696.0,2650.0,897.0,2526.41,792.79,2557.94,800.47,2527.79,818.65,2526.11,837.42,2549.48,842.4,51.27862548828125,-5.415489196777344,6.4807586669921875
33,5.0,2468.0,697.0,2652.0,897.0,2528.05,792.92,2559.01,800.6,2528.3,818.51,2526.8,837.58,2550.17,842.81,49.02056884765625,-5.847137451171875,7.005157470703125
34,4.0,2468.0,697.0,2652.0,897.0,2528.52,793.38,2559.66,800.87,2528.97,818.76,2527.18,837.89,2550.98,843.0,50.75326538085938,-5.769172668457031,6.6998443603515625
35,4.0,2469.0,697.0,2652.0,897.0,2529.19,793.29,2559.73,800.76,2529.44,818.59,2527.97,837.52,2551.63,842.62,49.32025146484375,-4.768600463867188,8.172157287597656
36,4.0,2470.0,698.0,2653.0,898.0,2530.3,792.76,2560.98,800.5,2530.27,818.25,2528.61,837.34,2552.49,842.67,48.97746276855469,-5.096733093261719,8.283920288085938
37,3.0,2470.0,697.0,2653.0,898.0,2530.61,792.69,2561.22,800.47,2530.27,818.31,2528.89,837.38,2552.78,842.72,48.75637817382813,-4.753662109375,8.685791015625
38,4.0,2470.0,698.0,2653.0,898.0,2530.7,792.81,2561.24,800.48,2530.22,818.31,2528.93,837.79,2552.65,843.05,49.16667175292969,-5.1525421142578125,8.263656616210938
39,4.0,2470.0,698.0,2654.0,898.0,2530.84,792.6,2561.46,800.38,2530.27,818.15,2529.02,837.72,2552.68,843.07,48.64132690429688,-4.385032653808594,8.723602294921875
40,3.0,2470.0,698.0,2654.0,898.0,2530.99,792.69,2561.63,800.48,2530.28,818.2,2529.08,837.84,2552.78,843.18,48.90328979492188,-4.258316040039063,8.655097961425781
41,3.0,2471.0,698.0,2654.0,898.0,2531.46,792.33,2562.14,800.15,2530.53,817.69,2529.16,837.59,2552.92,842.96,47.532470703125,-3.663330078125,9.814971923828123
42,3.0,2471.0,698.0,2654.0,898.0,2531.81,792.17,2562.44,799.84,2530.8,817.6,2529.57,837.67,2553.27,842.93,45.91302490234375,-3.3885421752929688,9.978363037109377
43,3.0,2471.0,697.0,2654.0,899.0,2531.94,792.46,2563.48,799.9,2532.2,819.27,2530.1,837.88,2554.78,843.2,46.69841003417969,-3.82684326171875,9.983657836914062
44,3.0,2471.0,697.0,2654.0,899.0,2532.07,792.13,2563.9,799.8,2532.46,819.31,2530.32,837.75,2555.1,843.24,47.04057312011719,-3.6551513671875,9.775787353515623
45,3.0,2471.0,697.0,2654.0,899.0,2532.2,791.75,2564.23,799.83,2532.77,819.3,2530.34,837.37,2555.36,843.17,46.9573974609375,-3.2467498779296875,9.61431884765625
46,3.0,2471.0,696.0,2655.0,898.0,2532.36,791.32,2564.86,799.81,2533.2,819.35,2530.36,836.91,2555.75,843.05,47.97254943847656,-3.7963943481445312,8.942398071289062
47,3.0,2471.0,696.0,2655.0,898.0,2532.43,791.34,2565.17,799.95,2533.42,819.48,2530.36,836.87,2555.86,843.12,47.68182373046875,-3.4268341064453125,9.00445556640625
48,3.0,2471.0,696.0,2655.0,898.0,2532.37,791.29,2565.38,799.9,2533.66,819.55,2530.48,836.83,2556.16,843.08,47.658935546875,-3.094589233398437,8.862152099609375
49,3.0,2471.0,696.0,2655.0,898.0,2532.43,791.24,2565.29,799.74,2533.5,819.29,2530.55,836.87,2555.99,843.03,47.97560119628906,-2.656951904296875,8.83245849609375
50,3.0,2471.0,696.0,2655.0,898.0,2532.44,791.28,2565.19,799.48,2533.5,819.01,2530.71,836.63,2556.11,842.56,48.38418579101562,-2.128486633300781,9.18317413330078
51,3.0,2471.0,696.0,2655.0,898.0,2532.6,791.19,2565.19,799.26,2533.53,818.67,2530.89,836.59,2556.07,842.41,48.56866455078125,-2.227035522460937,9.166213989257812
52,3.0,2472.0,695.0,2656.0,897.0,2532.64,790.93,2565.43,799.09,2533.58,818.35,2530.91,836.31,2556.25,842.2,48.66107177734375,-2.947601318359375,8.741378784179688
53,3.0,2472.0,695.0,2655.0,897.0,2532.78,790.69,2565.17,798.99,2533.41,818.14,2531.01,836.12,2555.89,842.09,48.52488708496094,-2.08233642578125,9.088165283203123
54,3.0,2472.0,695.0,2655.0,897.0,2532.76,790.47,2565.26,798.83,2533.37,818.07,2531.03,836.2,2555.86,842.23,47.69793701171875,-2.2832794189453125,9.166145324707033
55,3.0,2472.0,695.0,2655.0,897.0,2532.71,790.46,2565.04,798.45,2533.33,817.7,2531.21,836.15,2555.94,841.88,47.29948425292969,-2.2277984619140625,9.44831085205078
