frame_num,face_id,x_min,y_min,x_max,y_max,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,yaw,pitch,roll
28,4.0,1555.0,552.0,1727.0,724.0,1624.8,635.03,1657.51,640.86,1637.67,659.01,1622.62,668.96,1649.88,673.58,-1.48345947265625,-21.11426544189453,15.82500457763672
29,4.0,1555.0,552.0,1727.0,723.0,1623.82,634.4,1656.5,640.42,1636.54,658.46,1621.46,668.18,1648.8,672.97,2.1922607421875,-20.919952392578125,15.227157592773438
30,4.0,1554.0,552.0,1726.0,723.0,1622.53,633.94,1655.33,639.85,1635.01,658.22,1620.51,667.85,1647.94,672.53,1.3974151611328125,-20.58435821533203,15.719650268554688
31,5.0,1554.0,551.0,1725.0,722.0,1621.61,633.28,1653.96,639.43,1633.69,657.15,1619.55,667.04,1646.52,671.9,2.431549072265625,-19.562599182128906,16.013320922851562
32,6.0,1553.0,551.0,1725.0,722.0,1621.08,632.68,1653.1,638.97,1632.9,656.54,1619.03,666.41,1645.71,671.37,1.940711975097656,-18.03167724609375,16.601142883300778
33,6.0,1553.0,549.0,1724.0,721.0,1620.74,633.22,1652.8,639.58,1632.43,656.34,1618.13,666.02,1645.52,670.99,3.8766860961914062,-16.986778259277347,14.78313446044922
34,6.0,1553.0,548.0,1724.0,719.0,1620.54,631.8,1652.54,638.66,1631.85,655.02,1617.86,664.52,1644.92,669.89,7.422203063964844,-14.271476745605467,13.02557373046875
35,6.0,1553.0,547.0,1724.0,718.0,1620.19,630.28,1652.44,637.36,1631.54,653.55,1617.47,663.19,1644.71,668.74,12.402191162109375,-13.121505737304688,11.243637084960938
36,5.0,1552.0,543.0,1723.0,716.0,1618.73,627.7,1651.55,635.44,1630.18,650.44,1616.37,661.23,1643.25,667.4,16.03253173828125,-11.5386962890625,9.122062683105467
37,4.0,1552.0,542.0,1723.0,716.0,1618.72,626.49,1651.55,634.72,1629.58,649.52,1615.85,660.13,1642.85,666.68,19.256759643554688,-9.866607666015623,8.174942016601562
38,2.0,1552.0,541.0,1724.0,716.0,1617.86,624.65,1650.6,633.33,1627.33,647.58,1614.48,658.97,1641.56,665.8,24.74887084960937,-9.373817443847656,7.107574462890625
39,2.0,1551.0,539.0,1723.0,714.0,1616.17,624.43,1648.16,631.77,1625.08,645.71,1613.46,658.33,1639.87,664.1,30.403076171875,-6.565177917480469,6.7788543701171875
40,4.0,1552.0,540.0,1722.0,713.0,1615.12,623.51,1645.31,630.46,1621.74,644.49,1611.94,656.56,1637.87,661.93,31.9234619140625,-6.3582611083984375,6.064247131347656
41,8.0,1551.0,539.0,1721.0,711.0,1613.35,623.09,1643.17,628.34,1620.03,642.95,1611.56,656.19,1637.05,660.16,35.47233581542969,-6.910743713378906,5.7308349609375
42,8.0,1550.0,538.0,1719.0,710.0,1611.36,621.32,1641.77,627.05,1618.49,641.81,1609.42,655.24,1633.95,659.34,34.10067749023437,-8.270126342773438,5.989265441894531
43,8.0,1549.0,537.0,1719.0,710.0,1610.47,620.24,1640.66,625.58,1617.26,640.22,1608.6,654.54,1633.11,658.31,35.393310546875,-8.568084716796875,5.275382995605469
44,8.0,1548.0,537.0,1718.0,709.0,1609.36,619.94,1638.77,624.86,1615.26,639.59,1607.35,653.97,1631.2,657.25,33.822021484375,-7.4698486328125,5.251670837402344
45,7.0,1548.0,536.0,1717.0,708.0,1608.93,619.3,1638.05,624.37,1614.24,639.18,1606.77,653.44,1630.37,656.8,34.109512329101555,-5.352928161621094,6.16607666015625
46,7.0,1547.0,536.0,1717.0,707.0,1608.15,619.08,1637.15,623.96,1613.53,638.98,1606.3,652.89,1629.91,656.08,35.00341796875,-4.701698303222656,5.94415283203125
47,7.0,1547.0,535.0,1716.0,707.0,1607.48,618.41,1636.46,623.19,1612.61,638.28,1605.64,652.55,1629.06,655.66,38.02359008789063,-3.9359817504882812,5.55828857421875
48,6.0,1546.0,534.0,1716.0,707.0,1606.85,618.19,1635.42,622.75,1611.61,638.03,1605.14,652.72,1628.14,655.63,39.21424865722656,-2.794624328613281,5.7526092529296875
49,6.0,1546.0,534.0,1716.0,707.0,1606.09,618.26,1634.53,622.11,1610.87,637.76,1605.0,653.0,1627.82,655.34,40.143463134765625,-2.1921157836914062,5.711906433105469
50,7.0,1545.0,534.0,1714.0,707.0,1604.36,618.24,1632.58,621.48,1609.31,637.76,1604.27,653.75,1626.63,655.6,41.36505126953125,-3.604690551757813,4.314445495605469
51,6.0,1544.0,534.0,1713.0,709.0,1602.96,618.32,1630.82,621.23,1607.97,638.19,1603.57,654.4,1626.14,655.99,43.07012939453125,-3.4973526000976562,2.7134552001953125
