frame_num,face_id,x_min,y_min,x_max,y_max,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,yaw,pitch,roll
0,8.0,1258.0,535.0,1421.0,694.0,1315.46,616.06,1339.94,621.32,1318.06,634.35,1315.35,645.19,1333.38,648.75,39.46604919433594,-18.118453979492188,0.9422760009765624
1,8.0,1257.0,535.0,1420.0,694.0,1315.05,616.37,1339.48,621.58,1317.66,634.77,1315.23,645.52,1333.09,649.01,38.335357666015625,-18.977508544921875,0.856201171875
2,8.0,1257.0,535.0,1420.0,694.0,1314.6,616.38,1339.57,621.59,1317.52,634.98,1314.77,645.87,1332.78,649.37,37.61952209472656,-19.6563720703125,0.3528671264648437
3,8.0,1256.0,537.0,1420.0,697.0,1312.84,617.84,1336.74,620.14,1316.08,635.01,1314.83,648.5,1332.91,649.46,36.69235229492188,-22.654090881347656,-0.5832595825195312
4,8.0,1256.0,537.0,1420.0,697.0,1312.8,618.44,1336.27,620.25,1316.03,635.33,1315.24,648.78,1333.09,649.37,37.03033447265625,-22.639259338378906,-0.0348663330078125
5,8.0,1256.0,537.0,1420.0,697.0,1312.38,618.02,1336.64,619.95,1315.99,635.04,1314.5,648.59,1333.04,649.28,35.005569458007805,-24.34564208984375,0.7185745239257812
6,8.0,1256.0,535.0,1419.0,694.0,1313.14,617.53,1337.84,621.65,1316.28,635.32,1314.87,647.34,1332.05,649.93,37.69107055664063,-22.029037475585934,-1.070159912109375
7,8.0,1256.0,535.0,1419.0,694.0,1313.14,617.33,1337.79,621.63,1316.16,635.18,1314.63,647.19,1331.88,649.93,36.18869018554688,-21.77825927734375,-0.65570068359375
8,8.0,1256.0,535.0,1419.0,694.0,1313.14,617.25,1337.85,621.69,1316.25,635.25,1314.48,647.1,1331.86,649.96,36.2017822265625,-21.66986083984375,-0.5988235473632812
9,8.0,1256.0,535.0,1419.0,694.0,1313.16,617.31,1337.9,621.61,1316.24,635.18,1314.68,647.26,1331.91,649.99,36.46736145019531,-21.91586303710937,-0.7480316162109375
10,8.0,1256.0,535.0,1419.0,694.0,1313.17,617.26,1337.89,621.63,1316.29,635.16,1314.61,647.21,1331.86,650.02,36.56561279296875,-21.67564392089844,-1.017486572265625
11,8.0,1256.0,535.0,1419.0,694.0,1313.12,617.27,1337.88,621.6,1316.26,635.15,1314.62,647.19,1331.9,649.96,36.40031433105469,-21.783531188964844,-0.8812179565429688
12,8.0,1256.0,535.0,1419.0,694.0,1313.15,617.26,1337.87,621.64,1316.28,635.18,1314.56,647.16,1331.84,649.97,36.24612426757813,-21.668540954589844,-0.6906967163085938
13,8.0,1256.0,535.0,1419.0,694.0,1313.15,617.25,1337.93,621.58,1316.25,635.13,1314.64,647.23,1331.89,649.99,36.58331298828125,-21.79442596435547,-0.7576217651367188
14,8.0,1256.0,535.0,1419.0,694.0,1313.15,617.27,1337.8,621.6,1316.24,635.17,1314.68,647.19,1331.9,649.95,36.44598388671875,-21.57788848876953,-0.9101409912109376
15,8.0,1256.0,535.0,1419.0,694.0,1313.15,617.26,1337.88,621.59,1316.27,635.15,1314.62,647.2,1331.87,649.97,36.33494567871094,-21.658653259277344,-0.8945388793945312
16,8.0,1256.0,535.0,1419.0,694.0,1313.16,617.25,1337.81,621.58,1316.26,635.14,1314.63,647.14,1331.88,649.91,36.257232666015625,-21.71905517578125,-0.794464111328125
17,8.0,1256.0,535.0,1419.0,694.0,1313.17,617.2,1337.88,621.54,1316.24,635.1,1314.68,647.19,1331.88,649.96,36.25537109375,-21.88436889648437,-0.7392730712890625
18,8.0,1256.0,535.0,1419.0,694.0,1313.17,617.24,1337.81,621.56,1316.23,635.13,1314.69,647.17,1331.88,649.94,36.31407165527344,-21.64253234863281,-0.8609390258789062
19,8.0,1256.0,535.0,1419.0,694.0,1313.17,617.2,1337.88,621.53,1316.24,635.1,1314.68,647.2,1331.88,649.96,36.25537109375,-21.88436889648437,-0.7392730712890625
20,8.0,1256.0,535.0,1419.0,694.0,1313.16,617.25,1337.81,621.58,1316.26,635.14,1314.63,647.14,1331.88,649.91,36.257232666015625,-21.71905517578125,-0.794464111328125
21,8.0,1256.0,535.0,1419.0,694.0,1313.12,617.17,1337.82,621.55,1316.23,635.1,1314.54,647.08,1331.85,649.88,36.030517578125,-21.770187377929688,-0.6783599853515625
22,8.0,1256.0,535.0,1419.0,694.0,1313.16,617.27,1337.81,621.58,1316.27,635.12,1314.65,647.14,1331.87,649.9,36.34988403320313,-21.705856323242188,-0.8684005737304688
