frame_num,face_id,x_min,y_min,x_max,y_max,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,yaw,pitch,roll
0,1.0,1262.0,798.0,1470.0,1013.0,1322.09,899.41,1353.06,904.28,1320.94,932.57,1332.54,952.57,1354.97,954.57,37.56935119628906,-41.74100875854492,-23.04795837402344
1,1.0,1262.0,798.0,1470.0,1013.0,1321.77,899.09,1353.57,904.34,1321.01,932.4,1331.78,952.32,1354.79,954.64,37.7386474609375,-40.963478088378906,-22.377227783203125
2,2.0,1262.0,798.0,1470.0,1013.0,1322.36,898.41,1353.81,904.06,1321.02,931.54,1331.29,951.45,1354.24,954.08,37.671630859375,-41.408912658691406,-21.87728881835937
3,3.0,1262.0,798.0,1470.0,1011.0,1321.76,898.04,1353.89,903.24,1321.02,930.87,1331.04,951.01,1354.35,953.31,36.97943115234375,-39.91590881347656,-19.43097686767578
4,1.0,1261.0,797.0,1470.0,1010.0,1321.44,897.01,1353.83,902.46,1320.64,929.69,1330.27,949.96,1353.81,952.46,38.265228271484375,-40.58245086669922,-20.53015899658203
5,2.0,1262.0,797.0,1470.0,1009.0,1321.72,896.5,1353.88,902.05,1320.85,929.08,1330.54,948.95,1354.09,951.51,38.3402099609375,-40.03447723388672,-19.418670654296875
6,2.0,1262.0,796.0,1470.0,1009.0,1321.62,895.75,1354.06,901.1,1320.97,928.2,1330.39,947.78,1354.78,950.18,38.52215576171875,-40.70924377441406,-19.25347900390625
7,1.0,1261.0,796.0,1470.0,1009.0,1321.42,894.91,1354.43,900.74,1320.98,927.46,1329.65,946.86,1354.67,949.67,39.01741027832031,-42.11843490600586,-19.14368438720703
8,1.0,1261.0,796.0,1470.0,1009.0,1321.49,894.89,1354.43,900.75,1320.97,927.48,1329.7,946.89,1354.64,949.72,39.033447265625,-42.11384582519531,-19.189422607421875
9,1.0,1261.0,796.0,1470.0,1009.0,1321.53,894.98,1354.42,900.81,1320.99,927.55,1329.78,947.01,1354.62,949.8,39.1246337890625,-42.10107421875,-19.323562622070312
